"zip","coastal"
"97438",FALSE
"97370",FALSE
"97905",FALSE
"97636",FALSE
"97406",FALSE
"17101",FALSE
"15053",FALSE
"15510",FALSE
"17745",FALSE
"18250",FALSE
"19109",FALSE
"15202",FALSE
"15420",FALSE
"16372",FALSE
"17272",FALSE
"17075",FALSE
"15140",FALSE
"15379",FALSE
"15447",FALSE
"17935",FALSE
"29584",FALSE
"29355",FALSE
"29810",FALSE
"29070",FALSE
"29153",FALSE
"29407",FALSE
"97901",FALSE
"29128",FALSE
"57047",FALSE
"57644",FALSE
"37770",FALSE
"37210",FALSE
"38007",FALSE
"37096",FALSE
"38126",FALSE
"77624",FALSE
"76849",FALSE
"76310",FALSE
"79601",FALSE
"75160",FALSE
"78582",FALSE
"75803",FALSE
"78203",FALSE
"76872",FALSE
"77423",FALSE
"79369",FALSE
"77351",FALSE
"79528",FALSE
"75904",FALSE
"77831",FALSE
"79916",FALSE
"78840",FALSE
"77430",FALSE
"76455",FALSE
"69216",FALSE
"84055",FALSE
"84526",FALSE
"84756",FALSE
"53192",FALSE
"45660",FALSE
"36105",FALSE
"35546",FALSE
"36048",FALSE
"36425",FALSE
"35146",FALSE
"35978",FALSE
"36265",FALSE
"35452",FALSE
"35036",FALSE
"36875",FALSE
"99615",FALSE
"99581",FALSE
"99586",FALSE
"99712",FALSE
"99683",FALSE
"99790",FALSE
"86336",FALSE
"85320",FALSE
"85295",FALSE
"71901",FALSE
"72638",FALSE
"71638",FALSE
"71655",FALSE
"72058",FALSE
"72330",FALSE
"95554",FALSE
"95472",FALSE
"96047",FALSE
"95329",FALSE
"93023",FALSE
"92708",FALSE
"93257",FALSE
"93207",FALSE
"95471",FALSE
"94550",FALSE
"95249",FALSE
"91303",FALSE
"93453",FALSE
"92086",FALSE
"90701",FALSE
"96010",FALSE
"95461",FALSE
"96027",FALSE
"80101",FALSE
"80504",FALSE
"81226",FALSE
"80461",FALSE
"80442",FALSE
"80293",FALSE
"80540",FALSE
"80546",FALSE
"06712",FALSE
"06103",FALSE
"06112",FALSE
"20307",FALSE
"33021",FALSE
"32421",FALSE
"32509",FALSE
"32455",FALSE
"34233",FALSE
"31032",FALSE
"30175",FALSE
"30609",FALSE
"30522",FALSE
"30456",FALSE
"30230",FALSE
"30334",FALSE
"31051",FALSE
"30113",FALSE
"96704",FALSE
"83221",FALSE
"77443",FALSE
"79010",FALSE
"05904",FALSE
"77331",FALSE
"29479",FALSE
"97380",FALSE
"11418",FALSE
"43505",FALSE
"10167",FALSE
"25870",FALSE
"36507",FALSE
"86512",FALSE
"86429",FALSE
"71973",FALSE
"94132",FALSE
"90742",TRUE
"06058",FALSE
"95831",FALSE
"32340",FALSE
"19736",FALSE
"83554",FALSE
"83468",FALSE
"32207",FALSE
"62305",FALSE
"61834",FALSE
"34101",TRUE
"33130",FALSE
"30680",FALSE
"30139",FALSE
"60091",TRUE
"41517",FALSE
"04646",TRUE
"96777",FALSE
"46595",FALSE
"67156",FALSE
"01907",TRUE
"49774",FALSE
"52537",FALSE
"04554",TRUE
"04732",FALSE
"55921",FALSE
"21902",TRUE
"39341",FALSE
"59014",FALSE
"01560",FALSE
"69201",FALSE
"01845",FALSE
"08006",FALSE
"87740",FALSE
"21901",TRUE
"49817",TRUE
"81155",FALSE
"28782",FALSE
"07024",FALSE
"03447",FALSE
"73945",FALSE
"65626",FALSE
"12979",FALSE
"97444",TRUE
"15522",FALSE
"12787",FALSE
"27941",FALSE
"37752",FALSE
"37660",FALSE
"37385",FALSE
"75570",FALSE
"79830",FALSE
"28472",FALSE
"84515",FALSE
"05776",FALSE
"05450",FALSE
"28742",FALSE
"98520",TRUE
"17217",FALSE
"99118",FALSE
"45142",FALSE
"54880",TRUE
"07676",FALSE
"07203",FALSE
